AnimalBirthYear,AnimalName,Count
2001,BELLA,1.0
2001,CHARLIE,16.0
2001,COCO,4.0
2001,LOLA,9.0
2001,LUCY,25.0
2001,LUNA,9.0
2001,MAX,16.0
2001,ROCKY,9.0
2002,BELLA,9.0
2002,CHARLIE,1.0
2002,COCO,16.0
2002,LOLA,36.0
2002,LUCKY,100.0
2002,LUCY,49.0
2002,LUNA,16.0
2002,MAX,25.0
2002,MILO,81.0
2002,ROCKY,25.0
2003,BELLA,441.0
2003,CHARLIE,25.0
2003,COCO,49.0
2003,LOLA,4.0
2003,LUCKY,4.0
2003,LUCY,64.0
2003,LUNA,1.0
2003,MAX,121.0
2003,MILO,25.0
2003,ROCKY,121.0
2004,BELLA,144.0
2004,CHARLIE,729.0
2004,COCO,289.0
2004,LOLA,100.0
2004,LUCKY,400.0
2004,LUCY,1024.0
2004,LUNA,9.0
2004,MAX,625.0
2004,MILO,25.0
2004,ROCKY,676.0
2005,BELLA,784.0
2005,CHARLIE,729.0
2005,COCO,81.0
2005,LOLA,900.0
2005,LUCKY,676.0
2005,LUCY,400.0
2005,LUNA,100.0
2005,MAX,400.0
2005,MILO,25.0
2005,ROCKY,121.0
2006,BELLA,676.0
2006,CHARLIE,144.0
2006,COCO,1849.0
2006,LOLA,961.0
2006,LUCKY,1681.0
2006,LUCY,289.0
2006,LUNA,529.0
2006,MAX,2601.0
2006,MILO,256.0
2006,ROCKY,289.0
2007,BELLA,2304.0
2007,CHARLIE,1849.0
2007,COCO,441.0
2007,LOLA,2304.0
2007,LUCKY,1369.0
2007,LUCY,1521.0
2007,LUNA,100.0
2007,MAX,5041.0
2007,MILO,1156.0
2007,ROCKY,1444.0
2008,BELLA,3721.0
2008,CHARLIE,3721.0
2008,COCO,625.0
2008,LOLA,784.0
2008,LUCKY,1444.0
2008,LUCY,900.0
2008,LUNA,900.0
2008,MAX,7056.0
2008,MILO,81.0
2008,ROCKY,1681.0
2009,BELLA,9216.0
2009,CHARLIE,4900.0
2009,COCO,1600.0
2009,LOLA,1156.0
2009,LUCKY,6724.0
2009,LUCY,3136.0
2009,LUNA,2401.0
2009,MAX,4624.0
2009,MILO,196.0
2009,ROCKY,8649.0
2010,BELLA,9025.0
2010,CHARLIE,2401.0
2010,COCO,3600.0
2010,LOLA,2116.0
2010,LUCKY,3136.0
2010,LUCY,1089.0
2010,LUNA,1156.0
2010,MAX,5184.0
2010,MILO,3136.0
2010,ROCKY,4096.0
2011,BELLA,9216.0
2011,CHARLIE,3364.0
2011,COCO,4225.0
2011,LOLA,2704.0
2011,LUCKY,6561.0
2011,LUCY,5184.0
2011,LUNA,576.0
2011,MAX,9604.0
2011,MILO,625.0
2011,ROCKY,2116.0
2012,BELLA,16384.0
2012,CHARLIE,3969.0
2012,COCO,1764.0
2012,LOLA,9409.0
2012,LUCKY,2304.0
2012,LUCY,2209.0
2012,LUNA,4489.0
2012,MAX,6241.0
2012,MILO,1849.0
2012,ROCKY,3969.0
2013,BELLA,16641.0
2013,CHARLIE,5041.0
2013,COCO,1024.0
2013,LOLA,12321.0
2013,LUCKY,1764.0
2013,LUCY,3481.0
2013,LUNA,3721.0
2013,MAX,6724.0
2013,MILO,729.0
2013,ROCKY,2601.0
2014,BELLA,14161.0
2014,CHARLIE,8100.0
2014,COCO,3025.0
2014,LOLA,3025.0
2014,LUCKY,6724.0
2014,LUCY,7225.0
2014,LUNA,6561.0
2014,MAX,4761.0
2014,MILO,1089.0
2014,ROCKY,4624.0
2015,BELLA,7921.0
2015,CHARLIE,13689.0
2015,COCO,4900.0
2015,LOLA,4761.0
2015,LUCKY,4356.0
2015,LUCY,3249.0
2015,LUNA,5625.0
2015,MAX,10000.0
2015,MILO,1600.0
2015,ROCKY,7744.0
2016,BELLA,16900.0
2016,CHARLIE,6084.0
2016,COCO,1681.0
2016,LOLA,3721.0
2016,LUCKY,4489.0
2016,LUCY,2916.0
2016,LUNA,9216.0
2016,MAX,20736.0
2016,MILO,4624.0
2016,ROCKY,5041.0
2017,BELLA,11449.0
2017,CHARLIE,5184.0
2017,COCO,4225.0
2017,LOLA,2304.0
2017,LUCKY,1369.0
2017,LUCY,1444.0
2017,LUNA,15376.0
2017,MAX,9409.0
2017,MILO,3844.0
2017,ROCKY,8649.0
2018,BELLA,12321.0
2018,CHARLIE,3136.0
2018,COCO,3844.0
2018,LOLA,2916.0
2018,LUCKY,2025.0
2018,LUCY,2209.0
2018,LUNA,10816.0
2018,MAX,1600.0
2018,MILO,3481.0
2018,ROCKY,5929.0
2019,BELLA,8281.0
2019,CHARLIE,3721.0
2019,COCO,3136.0
2019,LOLA,5329.0
2019,LUCKY,1156.0
2019,LUCY,1600.0
2019,LUNA,12321.0
2019,MAX,4900.0
2019,MILO,2601.0
2019,ROCKY,1600.0
2020,BELLA,5476.0
2020,CHARLIE,2704.0
2020,COCO,3969.0
2020,LOLA,1521.0
2020,LUCKY,400.0
2020,LUCY,1369.0
2020,LUNA,12321.0
2020,MAX,2704.0
2020,MILO,5329.0
2020,ROCKY,1156.0
2021,BELLA,4761.0
2021,CHARLIE,729.0
2021,COCO,2500.0
2021,LOLA,900.0
2021,LUCKY,49.0
2021,LUCY,484.0
2021,LUNA,8464.0
2021,MAX,484.0
2021,MILO,3481.0
2021,ROCKY,784.0
2022,BELLA,676.0
2022,CHARLIE,484.0
2022,COCO,784.0
2022,LOLA,441.0
2022,LUCKY,49.0
2022,LUCY,144.0
2022,LUNA,1369.0
2022,MAX,784.0
2022,MILO,729.0
2022,ROCKY,196.0
2023,BELLA,64.0
2023,CHARLIE,16.0
2023,COCO,100.0
2023,LOLA,25.0
2023,LUCKY,1.0
2023,LUCY,4.0
2023,LUNA,225.0
2023,MAX,16.0
2023,MILO,196.0
2023,ROCKY,16.0
